userid,button,is_canceled
116,top,False
337,top,False
377,bottom,False
483,bottom,False
488,bottom,True
540,bottom,True
1066,top,False
1444,bottom,False
1574,bottom,True
1587,bottom,False
1842,bottom,True
2101,top,False
2132,bottom,False
2179,top,False
2218,top,True
2382,top,False
2392,top,False
2451,top,True
2482,top,True
2502,bottom,False
2530,bottom,False
2534,top,False
2695,bottom,False
2729,top,True
2829,top,False
2963,top,False
3095,top,False
3132,bottom,True
3186,bottom,False
3199,top,False
3204,bottom,True
3413,top,False
3690,top,False
3696,top,False
3993,bottom,True
4076,bottom,False
4162,top,False
4176,top,False
4283,top,False
4594,top,False
4653,bottom,False
4881,top,False
4902,bottom,False
4916,bottom,False
4918,top,False
4929,top,True
4945,bottom,False
5066,top,False
5215,top,False
5286,top,False
5345,bottom,False
5479,top,False
5550,top,False
5661,top,False
5712,top,True
5920,bottom,False
5943,bottom,False
6099,bottom,False
6123,top,False
6151,top,True
6156,bottom,False
6492,top,False
6664,bottom,False
6695,bottom,False
6833,bottom,False
6842,bottom,False
6924,top,False
6930,bottom,True
7124,bottom,True
7253,top,False
7321,bottom,False
7509,bottom,False
7527,top,False
7564,top,False
7582,bottom,False
7767,top,True
7866,top,False
8063,top,False
8254,bottom,False
8256,bottom,False
8288,top,False
8317,bottom,False
8379,top,False
8464,top,False
8465,bottom,False
8494,top,False
8644,top,False
8679,top,False
8692,top,False
8753,bottom,False
8788,top,True
8801,bottom,False
8885,bottom,False
9001,bottom,False
9308,bottom,False
9443,bottom,False
9589,top,False
9699,bottom,False
9828,bottom,False
9831,bottom,False
9849,bottom,False
10112,top,False
10200,bottom,True
10218,top,False
10276,bottom,False
10336,top,False
10476,bottom,False
10533,bottom,False
10598,bottom,False
10636,top,True
10637,bottom,False
10676,bottom,False
10756,top,False
10884,bottom,False
11093,bottom,True
11127,top,True
11297,top,False
11411,top,True
11420,top,False
11599,top,False
11675,bottom,False
11747,top,False
11840,top,False
11886,top,False
12053,top,False
12067,bottom,False
12163,top,False
12393,bottom,False
12461,bottom,False
12523,top,False
12558,top,False
12574,top,False
12749,top,False
12905,bottom,False
12951,bottom,False
12967,top,False
12979,top,False
13133,bottom,False
13216,top,False
13228,bottom,False
13320,bottom,False
13321,bottom,False
13376,bottom,False
13429,top,True
13494,bottom,False
13633,top,False
13664,top,True
13721,bottom,False
13758,top,False
13806,top,False
13856,top,False
13872,top,False
13893,bottom,False
13969,bottom,False
14143,top,False
14218,top,True
14290,bottom,False
14296,top,False
14381,bottom,False
14592,top,False
14644,bottom,False
14834,top,False
15157,bottom,False
15173,top,False
15294,top,True
15489,top,False
15597,bottom,False
15962,top,False
15970,bottom,False
16096,bottom,False
16145,bottom,False
16180,top,False
16224,bottom,False
16454,bottom,False
16504,bottom,False
16506,top,False
16638,bottom,False
16696,bottom,False
17085,bottom,False
17167,top,False
17270,top,False
17422,bottom,False
17461,top,False
17477,top,True
17506,bottom,True
17554,top,False
17814,top,False
17903,bottom,False
17947,top,True
17995,top,False
18013,bottom,False
18213,bottom,False
18235,top,False
18374,bottom,False
18731,top,False
18756,top,True
18778,top,False
18827,top,False
18849,bottom,True
18993,bottom,False
19077,top,False
19091,bottom,False
19474,bottom,False
19490,top,False
19529,bottom,False
19537,bottom,False
19593,bottom,False
19673,bottom,False
19721,bottom,False
19728,bottom,True
19746,top,True
19896,bottom,False
19993,top,False
20005,top,False
20052,top,False
20136,top,False
20358,bottom,True
20365,bottom,False
20465,top,False
20489,bottom,False
20587,bottom,False
20591,bottom,False
20721,bottom,True
20763,top,False
20790,bottom,False
20832,top,False
20940,bottom,False
21072,bottom,False
21130,bottom,False
21137,bottom,False
21228,bottom,True
21408,top,False
21442,bottom,False
21755,bottom,True
22069,bottom,False
22082,bottom,False
22167,bottom,True
22299,bottom,True
22398,top,False
22486,bottom,False
22676,bottom,False
22919,bottom,False
22935,top,True
22972,top,False
23023,bottom,True
23026,bottom,False
23084,bottom,True
23094,bottom,False
23126,bottom,False
23270,top,False
23333,top,False
23374,top,False
23525,bottom,True
23702,bottom,False
23748,bottom,False
24036,bottom,False
24222,top,True
24302,bottom,False
24328,top,False
24382,top,False
24397,top,False
24981,bottom,False
25047,top,False
25281,top,False
25293,bottom,False
25332,top,True
25466,bottom,False
25903,top,False
25941,bottom,False
25958,top,False
26083,top,True
26243,bottom,True
26253,top,False
26466,bottom,False
26502,top,True
26586,top,False
27135,top,False
27163,bottom,False
27605,top,False
27693,top,False
27754,top,False
27759,top,True
27849,bottom,False
27851,bottom,False
27979,top,False
28025,top,False
28091,top,False
28123,top,False
28332,top,False
28405,top,False
28433,top,False
28497,bottom,True
29185,bottom,False
29311,bottom,False
29317,bottom,False
29455,top,True
29522,bottom,True
29658,top,False
29677,bottom,False
29753,bottom,False
29861,bottom,False
29999,top,True
30039,bottom,False
30059,top,False
30274,top,False
30277,top,False
30343,top,True
30348,top,True
30594,bottom,False
30631,top,True
30868,top,False
30928,top,False
31073,top,True
31151,top,False
31200,top,False
31214,top,True
31222,bottom,False
31638,bottom,False
31691,top,False
31812,top,False
31903,top,True
32292,bottom,False
32403,bottom,False
32569,bottom,False
32595,bottom,False
32642,top,False
32730,top,False
32942,bottom,True
33097,top,False
33126,top,False
33189,bottom,False
33274,bottom,False
33316,bottom,False
33445,top,True
33489,top,False
33639,bottom,False
33703,bottom,False
33794,top,False
33954,bottom,False
33967,top,True
34016,bottom,False
34022,bottom,True
34027,bottom,False
34076,bottom,False
34447,bottom,True
34469,top,True
34597,bottom,True
34647,bottom,False
34706,top,False
34842,bottom,False
34859,top,False
34906,top,False
34942,bottom,False
35027,bottom,False
35056,top,False
35156,top,False
35458,bottom,False
35460,top,False
35730,top,False
35837,top,False
35886,top,False
35922,top,False
36003,top,False
36047,bottom,True
36077,top,False
36279,top,False
36280,top,False
36298,bottom,False
36356,top,True
36513,bottom,False
36560,bottom,False
36622,top,False
36664,bottom,True
36673,top,False
36761,bottom,True
36887,bottom,False
36921,top,False
36997,bottom,False
37155,bottom,False
37303,top,True
37366,bottom,False
37461,bottom,True
37740,top,True
37823,top,False
37872,top,False
37994,bottom,False
38151,top,False
38232,top,True
38249,bottom,False
38292,top,False
39069,top,False
39382,top,False
39494,top,False
39531,top,False
39774,bottom,True
39902,bottom,False
39932,top,True
39993,bottom,False
40233,bottom,False
40292,top,False
40359,top,False
40378,top,True
40427,top,False
40566,top,False
40593,top,True
40630,bottom,False
40653,top,False
40687,top,False
40749,bottom,False
40812,bottom,False
41112,top,False
41192,top,False
41378,bottom,False
41795,top,True
41842,bottom,False
41934,bottom,False
41988,bottom,False
42077,top,False
42316,top,False
42407,top,True
42457,top,False
42688,bottom,False
42703,top,False
42758,bottom,False
42994,bottom,True
43091,top,False
43368,bottom,False
43644,top,False
43744,top,False
43757,top,False
44400,bottom,False
44493,bottom,True
44498,top,False
44591,top,False
44670,top,False
44751,top,False
44780,top,False
44910,bottom,False
45066,top,False
45083,bottom,False
45167,top,False
45694,bottom,False
45698,top,True
45753,top,False
45813,bottom,False
45895,bottom,False
45896,bottom,False
45952,bottom,False
46007,top,False
46022,bottom,False
46347,top,False
46472,bottom,False
46576,top,False
46624,bottom,True
46629,bottom,False
46746,bottom,False
46806,top,True
46919,bottom,False
46938,top,False
47377,bottom,False
47816,top,True
47822,bottom,True
47990,bottom,False
48016,top,False
48116,top,False
48130,top,False
48201,bottom,True
48631,bottom,False
48658,top,True
48677,bottom,False
48942,top,True
48990,bottom,False
49147,bottom,False
49311,bottom,False
49330,top,False
49373,top,False
49600,top,False
49811,bottom,False
49995,bottom,False
50011,bottom,False
50158,bottom,True
50237,bottom,False
50339,bottom,False
50386,bottom,False
50547,top,False
50665,top,False
50686,bottom,True
50688,top,False
50794,bottom,False
50811,top,False
50850,top,True
51155,top,False
51267,top,False
51295,top,True
51310,top,True
51430,top,False
51636,bottom,False
51641,bottom,False
51823,bottom,True
51894,top,False
