,ID,Year_Birth,Country,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Complain
0,1826,1970,SP,Graduation,Divorced,"$84,835.00 ",0,0,6/16/14,0,189,104,379,111,189,218,1,4,6,1,0
1,1,1961,CA,Graduation,Single,"$57,091.00 ",0,0,6/15/14,0,464,5,64,7,0,37,1,7,7,5,0
2,10476,1958,US,Graduation,Married,"$67,267.00 ",0,1,5/13/14,0,134,11,59,15,2,30,1,3,5,2,0
3,1386,1967,AUS,Graduation,Together,"$32,474.00 ",1,1,5/11/14,0,10,0,1,0,0,0,1,1,2,7,0
4,5371,1989,SP,Graduation,Single,"$21,474.00 ",1,0,4/8/14,0,6,16,24,11,0,34,2,3,2,7,0
5,7348,1958,SP,PhD,Single,"$71,691.00 ",0,0,3/17/14,0,336,130,411,240,32,43,1,4,5,2,0
6,4073,1954,GER,2n Cycle,Married,"$63,564.00 ",0,0,1/29/14,0,769,80,252,15,34,65,1,10,7,6,0
7,1991,1967,SP,Graduation,Together,"$44,931.00 ",0,1,1/18/14,0,78,0,11,0,0,7,1,2,3,5,0
8,4047,1954,US,PhD,Married,"$65,324.00 ",0,1,1/11/14,0,384,0,102,21,32,5,3,6,9,4,0
9,9477,1954,IND,PhD,Married,"$65,324.00 ",0,1,1/11/14,0,384,0,102,21,32,5,3,6,9,4,0
10,2079,1947,US,2n Cycle,Married,"$81,044.00 ",0,0,12/27/13,0,450,26,535,73,98,26,1,5,10,1,0
11,5642,1979,SP,Master,Together,"$62,499.00 ",1,0,12/9/13,0,140,4,61,0,13,4,2,3,6,4,0
12,10530,1959,IND,PhD,Widow,"$67,786.00 ",0,0,12/7/13,0,431,82,441,80,20,102,1,3,6,1,0
13,2964,1981,CA,Graduation,Married,"$26,872.00 ",0,0,10/16/13,0,3,10,8,3,16,32,1,1,2,6,0
14,10311,1969,SP,Graduation,Married,"$4,428.00 ",0,1,10/5/13,0,16,4,12,2,4,321,0,25,0,1,0
15,837,1977,SP,Graduation,Married,"$54,809.00 ",1,1,9/11/13,0,63,6,57,13,13,22,4,2,5,4,0
16,10521,1977,SP,Graduation,Married,"$54,809.00 ",1,1,9/11/13,0,63,6,57,13,13,22,4,2,5,4,0
17,10175,1958,SP,PhD,Divorced,"$32,173.00 ",0,1,8/1/13,0,18,0,2,0,0,2,1,1,3,4,0
18,1473,1960,CA,2n Cycle,Single,"$47,823.00 ",0,1,7/23/13,0,53,1,5,2,1,10,2,2,3,8,0
20,2285,1954,SA,Master,Together,"$36,634.00 ",0,1,5/28/13,0,213,9,76,4,3,30,3,5,5,7,0
21,115,1966,IND,Master,Single,"$43,456.00 ",0,1,3/26/13,0,275,11,68,25,7,7,3,5,8,5,0
22,10470,1979,GER,Master,Married,"$40,662.00 ",1,0,3/15/13,0,40,2,23,0,4,23,2,2,3,4,0
23,4065,1976,SP,PhD,Married,"$49,544.00 ",1,0,2/12/13,0,308,0,73,0,0,23,2,5,8,7,0
24,10968,1969,IND,Graduation,Single,"$57,731.00 ",0,1,11/23/12,0,266,21,300,65,8,44,4,8,6,6,0
25,5985,1965,SP,Master,Single,"$33,168.00 ",0,1,10/13/12,0,80,1,37,0,1,3,3,2,4,7,0
26,5430,1956,SP,Graduation,Together,"$54,450.00 ",1,1,9/14/12,0,454,0,171,8,19,32,12,9,8,8,0
27,8432,1956,SP,Graduation,Together,"$54,450.00 ",1,1,9/14/12,0,454,0,171,8,19,32,12,9,8,8,0
28,453,1956,SP,PhD,Widow,"$35,340.00 ",1,1,6/29/14,1,27,0,12,0,1,5,2,2,3,5,0
29,9687,1975,CA,Graduation,Single,"$73,170.00 ",0,0,5/31/14,1,184,174,256,50,30,32,1,5,6,2,0
30,8890,1971,SP,PhD,Divorced,"$65,808.00 ",1,1,5/30/14,1,155,7,80,13,7,10,3,5,5,6,0
31,9264,1986,CA,Graduation,Married,"$79,529.00 ",0,0,4/27/14,1,423,42,706,73,197,197,1,4,9,2,0
33,5794,1974,IND,PhD,Married,"$46,374.00 ",0,1,3/17/14,1,408,0,21,0,0,17,3,7,7,8,0
34,3068,1990,SP,Graduation,Married,"$18,351.00 ",0,0,10/29/13,1,1,12,9,0,14,7,1,2,3,7,0
35,7962,1987,SP,PhD,Single,"$95,169.00 ",0,0,10/9/13,1,1285,21,449,106,20,20,1,4,4,1,0
36,2681,1984,SP,2n Cycle,Married,"$65,370.00 ",0,0,8/1/13,1,71,22,112,138,89,29,1,2,13,1,0
37,10141,1960,SA,Master,Divorced,"$39,228.00 ",0,0,5/10/13,1,7,1,6,0,3,3,1,0,3,4,0
38,3725,1961,SP,PhD,Single,"$84,865.00 ",0,0,5/9/13,1,1248,16,349,43,16,16,1,2,9,4,0
39,3767,1968,SP,Graduation,Married,"$61,314.00 ",0,1,4/25/13,1,378,0,189,97,172,172,2,5,12,3,0
40,5585,1972,CA,Graduation,Single,"$21,359.00 ",1,0,4/20/13,1,12,2,17,6,1,10,2,2,3,8,0
41,7030,1955,SP,PhD,Married,"$66,465.00 ",0,1,3/30/13,1,1200,0,204,38,29,14,3,11,12,6,0
42,1524,1983,SP,2n Cycle,Single,"$81,698.00 ",0,0,3/1/13,1,709,45,115,30,160,45,1,8,5,5,0
43,3657,1986,SP,Graduation,Single,"$39,146.00 ",1,0,2/14/13,1,94,1,33,13,12,12,3,4,4,8,0
44,5740,1970,SP,2n Cycle,Divorced,"$25,959.00 ",1,1,2/14/13,1,4,2,12,7,5,26,2,1,2,6,0
45,9595,1961,SP,Graduation,Together,"$64,260.00 ",0,0,1/11/13,1,539,169,816,20,0,30,1,4,4,3,0
46,3158,1973,SP,Graduation,Married,"$32,300.00 ",1,0,1/3/13,1,13,3,6,6,5,6,1,1,3,8,0
47,5114,1965,AUS,Master,Married,"$74,806.00 ",0,1,12/19/12,1,670,9,249,0,28,9,2,5,5,4,0
48,340,1970,GER,Graduation,Divorced,"$72,967.00 ",0,1,12/15/12,1,158,35,179,0,0,125,2,7,8,5,0
49,8805,1960,US,Graduation,Single,"$48,904.00 ",0,1,12/2/12,1,283,10,38,0,13,27,4,7,4,8,0
50,1241,1984,GER,2n Cycle,Married,"$14,796.00 ",1,0,9/17/12,1,13,3,8,7,4,16,2,1,3,9,0
51,1402,1954,GER,Master,Married,"$66,991.00 ",0,0,9/11/12,1,496,36,460,189,60,12,3,4,6,3,0
53,1619,1956,SP,Graduation,Married,"$90,369.00 ",0,0,4/28/14,2,292,51,981,224,23,17,1,4,6,1,0
54,6398,1974,SP,Basic,Married,"$18,393.00 ",1,0,3/29/14,2,7,10,13,16,0,4,2,3,3,8,0
55,1857,1952,SP,Graduation,Single,"$47,139.00 ",1,1,3/6/14,2,46,0,12,0,2,23,2,2,2,7,0
56,4877,1973,IND,Master,Married,"$38,576.00 ",0,1,3/4/14,2,34,0,7,0,0,0,1,1,3,7,0
57,3066,1975,SA,PhD,Together,"$61,905.00 ",0,1,2/4/14,2,167,0,43,6,2,13,2,4,4,5,0
58,10286,1962,SA,Graduation,Married,"$83,715.00 ",0,0,2/3/14,2,318,8,407,150,35,8,1,2,13,0,0
59,1992,1964,SP,Graduation,Married,"$60,597.00 ",0,1,1/1/14,2,522,0,257,32,16,66,4,2,8,7,0
60,4246,1982,SP,Master,Single,"$6,560.00 ",0,0,12/12/13,2,67,11,26,4,3,262,0,1,1,17,0
61,10623,1961,SP,Master,Together,"$48,330.00 ",0,1,11/15/13,2,28,0,4,0,0,0,1,1,3,5,0
62,4867,1968,SP,PhD,Single,"$38,236.00 ",1,1,9/20/13,2,58,0,18,2,0,10,4,3,4,7,0
63,3112,1977,SP,Master,Married,"$22,701.00 ",1,0,9/5/13,2,2,4,9,0,4,5,1,1,3,5,0
64,4865,1974,AUS,Master,Divorced,"$53,367.00 ",1,1,8/31/13,2,229,7,140,10,3,11,7,5,8,7,0
65,6287,1986,SP,Graduation,Together,"$34,728.00 ",1,0,7/30/13,2,14,0,16,0,0,6,1,1,2,6,0
66,5332,1960,IND,2n Cycle,Married,"$82,504.00 ",0,0,7/27/13,2,362,50,431,134,35,54,1,3,7,1,0
67,1519,1972,SP,PhD,Single,"$38,578.00 ",1,1,6/22/13,2,38,4,22,3,3,3,3,3,3,8,0
68,9080,1972,SP,PhD,Single,"$38,578.00 ",1,1,6/22/13,2,38,4,22,3,3,3,3,3,3,8,0
69,1772,1975,CA,PhD,Married,"$79,174.00 ",0,0,1/11/13,2,1074,37,518,193,92,129,1,5,7,2,0
70,5341,1962,SA,2n Cycle,Divorced,"$81,975.00 ",0,1,1/5/13,2,983,76,184,180,138,27,1,6,4,7,0
71,5510,1977,SP,Master,Married,"$43,263.00 ",0,1,11/21/12,2,262,6,61,0,10,102,3,5,6,5,0
72,3887,1970,IND,Graduation,Single,"$27,242.00 ",1,0,11/11/12,2,3,17,26,20,1,39,2,2,3,9,0
73,7022,1971,SA,Graduation,Married,"$76,445.00 ",1,0,9/28/12,2,739,107,309,140,80,35,1,2,13,6,0
74,9999,1965,SP,Graduation,Together,"$75,276.00 ",0,0,9/27/12,2,610,105,125,137,42,21,1,9,9,5,0
75,10352,1963,SA,Graduation,Widow,"$34,213.00 ",1,1,9/7/12,2,50,4,28,6,3,26,3,3,2,9,0
76,7919,1976,SP,PhD,Together,"$72,335.00 ",0,0,8/13/12,2,1285,105,653,28,21,0,1,10,8,8,0
77,4114,1964,AUS,Master,Married,"$79,143.00 ",0,0,8/11/12,2,650,37,780,27,167,32,1,6,13,3,0
78,7990,1947,CA,Graduation,Married,"$27,469.00 ",0,0,8/2/12,2,9,1,2,3,2,0,1,0,3,6,0
79,9888,1969,SP,Graduation,Together,"$68,695.00 ",0,0,6/25/14,3,458,81,356,106,50,40,1,4,7,2,0
80,4399,1969,CA,Graduation,Together,"$68,695.00 ",0,0,6/25/14,3,458,81,356,106,50,40,1,4,7,2,0
81,4452,1957,GER,Graduation,Single,"$50,388.00 ",0,1,5/28/14,3,292,6,37,0,3,34,4,6,6,7,0
83,3878,1980,SP,2n Cycle,Single,"$31,859.00 ",1,0,2/27/14,3,3,4,7,15,8,11,1,1,3,7,0
84,9612,1987,SP,2n Cycle,Single,"$23,830.00 ",0,0,2/7/14,3,1,8,6,4,8,16,1,1,3,7,0
85,4098,1973,AUS,Graduation,Married,"$24,639.00 ",1,1,1/28/14,3,20,3,16,0,4,1,3,2,4,6,0
86,158,1945,SP,PhD,Together,"$71,604.00 ",0,0,11/17/13,3,345,53,528,98,75,97,1,8,5,4,0
87,3896,1984,SP,Graduation,Married,"$27,255.00 ",1,0,11/7/13,3,22,1,11,0,1,2,1,1,3,7,0
88,9970,1977,CA,Graduation,Together,"$55,375.00 ",0,1,10/17/13,3,42,11,57,10,28,14,1,1,6,2,0
89,4002,1960,SP,PhD,Married,"$77,037.00 ",0,1,10/13/13,3,463,96,333,168,53,10,1,7,12,3,0
90,10914,1970,SP,Graduation,Single,"$24,163.00 ",1,1,10/12/13,3,4,1,7,2,1,2,2,1,3,4,0
91,7279,1969,US,PhD,Together,"$69,476.00 ",0,0,9/30/13,3,260,86,559,63,9,67,1,4,4,2,0
92,10582,1979,GER,Graduation,Married,"$72,063.00 ",0,1,7/3/13,3,180,32,348,76,32,90,2,5,12,2,0
93,4470,1962,SP,Master,Married,"$58,646.00 ",0,1,6/10/13,3,62,1,44,6,5,22,1,2,4,4,0
94,6183,1962,GER,Master,Married,"$58,646.00 ",0,1,6/10/13,3,62,1,44,6,5,22,1,2,4,4,0
95,6379,1949,US,Master,Widow,"$47,570.00 ",1,1,5/29/13,3,67,1,20,0,2,31,3,2,2,7,0
